"year","age_group","sex","road_user","Sum(hospitalisations)","Sum(cases)","Mean(bed_days)","Sum(died_cases)"
2012,"65-74","Male","Car driver",443,448,28,5
2012,"65-74","Male","Car passenger",60,60,9,0
2012,"65-74","Male","Car unknown position",22,22,11,0
2012,"65-74","Male","Heavy transport driver",18,18,8,0
2012,"65-74","Male","Heavy transport passenger",1,1,1,0
2012,"65-74","Male","Heavy transport unknown position",1,1,1,0
2012,"65-74","Male","Motorcyclist",149,149,12,0
2012,"65-74","Male","Other or unknown",22,22,5,0
2012,"65-74","Male","Pedal cyclist",209,210,12,1
2012,"65-74","Male","Pedestrian",96,103,30,7
2012,"65-74","Male","Pick-up truck or van occupant",14,14,8,0
2012,"75+","Female","Bus occupant",49,49,11,0
2012,"75+","Female","Car driver",433,439,35,6
2012,"75+","Female","Car passenger",306,316,26,10
2012,"75+","Female","Car unknown position",38,38,14,0
2012,"75+","Female","Heavy transport passenger",2,2,1,0
2012,"75+","Female","Motorcyclist",5,5,10,0
2012,"75+","Female","Other or unknown",25,26,14,1
2012,"75+","Female","Pedal cyclist",14,14,6,0
2012,"75+","Female","Pedestrian",183,192,51,9
2012,"75+","Female","Pick-up truck or van occupant",3,3,8,0
2012,"75+","Male","Bus occupant",19,19,6,0
2012,"75+","Male","Car driver",504,524,37,20
2012,"75+","Male","Car passenger",96,99,11,3
2012,"75+","Male","Car unknown position",27,27,9,0
2012,"75+","Male","Heavy transport driver",2,2,23,0
2012,"75+","Male","Motorcyclist",36,36,8,0
2012,"75+","Male","Other or unknown",41,41,14,0
2012,"75+","Male","Pedal cyclist",90,92,9,2
2012,"75+","Male","Pedestrian",162,176,44,14
2012,"75+","Male","Pick-up truck or van occupant",5,5,20,0
2012,"8-16","Female","Bus occupant",5,5,2,0
2012,"8-16","Female","Car driver",23,23,4,0
2012,"8-16","Female","Car passenger",293,297,10,4
2012,"8-16","Female","Car unknown position",17,17,2,0
2012,"8-16","Female","Motorcyclist",63,63,3,0
2012,"8-16","Female","Other or unknown",7,7,2,0
2012,"8-16","Female","Pedal cyclist",163,163,4,0
2012,"8-16","Female","Pedestrian",106,106,30,0
2012,"8-16","Female","Pick-up truck or van occupant",2,2,4,0
2012,"8-16","Male","Bus occupant",4,4,2,0
2012,"8-16","Male","Car driver",35,35,4,0
2012,"8-16","Male","Car passenger",271,271,9,0
2012,"8-16","Male","Car unknown position",14,14,4,0
2012,"8-16","Male","Heavy transport passenger",1,1,1,0
2012,"8-16","Male","Heavy transport unknown position",1,1,1,0
2012,"8-16","Male","Motorcyclist",415,415,14,0
2012,"8-16","Male","Other or unknown",22,22,5,0
2012,"8-16","Male","Pedal cyclist",662,662,13,0
2012,"8-16","Male","Pedestrian",206,209,22,3
2012,"8-16","Male","Pick-up truck or van occupant",8,8,2,0
2013,"0-7","Female","Bus occupant",4,4,1,0
2013,"0-7","Female","Car driver",2,2,2,0
2013,"0-7","Female","Car passenger",147,148,7,1
2013,"0-7","Female","Car unknown position",5,5,3,0
2013,"0-7","Female","Motorcyclist",7,7,2,0
2013,"0-7","Female","Other or unknown",13,13,2,0
2013,"0-7","Female","Pedal cyclist",57,57,2,0
2013,"0-7","Female","Pedestrian",53,54,7,1
2013,"0-7","Female","Pick-up truck or van occupant",1,1,1,0
2013,"0-7","Male","Bus occupant",3,3,1,0
2013,"0-7","Male","Car driver",2,2,2,0
2013,"0-7","Male","Car passenger",151,152,5,1
2013,"0-7","Male","Car unknown position",7,7,1,0
2013,"0-7","Male","Motorcyclist",30,30,2,0
2013,"0-7","Male","Other or unknown",9,9,6,0
2013,"0-7","Male","Pedal cyclist",137,137,3,0
2013,"0-7","Male","Pedestrian",95,96,11,1
2013,"0-7","Male","Pick-up truck or van occupant",1,1,5,0
2013,"17-25","Female","Bus occupant",5,5,1,0
2013,"17-25","Female","Car driver",1238,1243,24,5
2013,"17-25","Female","Car passenger",610,613,17,3
2013,"17-25","Female","Car unknown position",87,87,5,0
2013,"17-25","Female","Heavy transport passenger",1,1,2,0
2013,"17-25","Female","Motorcyclist",171,171,6,0
2013,"17-25","Female","Other or unknown",29,29,3,0
2013,"17-25","Female","Pedal cyclist",125,125,4,0
2013,"17-25","Female","Pedestrian",180,180,15,0
2013,"17-25","Female","Pick-up truck or van occupant",11,11,3,0
2013,"17-25","Male","Bus occupant",9,9,2,0
2013,"17-25","Male","Car driver",1447,1453,37,6
2013,"17-25","Male","Car passenger",637,641,23,4
2013,"17-25","Male","Car unknown position",89,91,6,2
2013,"17-25","Male","Heavy transport driver",34,34,6,0
2013,"17-25","Male","Heavy transport passenger",5,5,15,0
2013,"17-25","Male","Heavy transport unknown position",1,1,1,0
2013,"17-25","Male","Motorcyclist",1884,1891,40,7
2013,"17-25","Male","Other or unknown",66,66,6,0
2013,"17-25","Male","Pedal cyclist",611,612,14,1
2013,"17-25","Male","Pedestrian",295,299,32,4
2013,"17-25","Male","Pick-up truck or van occupant",53,53,5,0
2013,"26-39","Female","Bus occupant",12,12,3,0
2013,"26-39","Female","Car driver",1263,1265,24,2
2013,"26-39","Female","Car passenger",452,453,13,1
2013,"26-39","Female","Car unknown position",89,89,4,0
2013,"26-39","Female","Heavy transport driver",1,1,2,0
2013,"26-39","Female","Heavy transport passenger",1,1,1,0
2013,"26-39","Female","Motorcyclist",223,223,11,0
2013,"26-39","Female","Other or unknown",26,26,3,0
2013,"26-39","Female","Pedal cyclist",308,308,8,0
2013,"26-39","Female","Pedestrian",146,148,21,2
2013,"26-39","Female","Pick-up truck or van occupant",7,7,1,0
2013,"26-39","Male","Bus occupant",9,9,3,0
2013,"26-39","Male","Car driver",1503,1509,34,6
2013,"26-39","Male","Car passenger",389,392,15,3
2013,"26-39","Male","Car unknown position",116,117,5,1
2013,"26-39","Male","Heavy transport driver",112,112,10,0
2013,"26-39","Male","Heavy transport passenger",4,4,4,0
2013,"26-39","Male","Heavy transport unknown position",4,4,1,0
2013,"26-39","Male","Motorcyclist",2018,2024,47,6
2013,"26-39","Male","Other or unknown",78,78,15,0
2013,"26-39","Male","Pedal cyclist",1121,1122,17,1
2013,"26-39","Male","Pedestrian",311,313,30,2
2013,"26-39","Male","Pick-up truck or van occupant",57,57,8,0
2013,"26-39","intersex or indeterminate or missing","Motorcyclist",1,1,3,0
2013,"40-64","Female","Bus occupant",33,33,4,0
2013,"40-64","Female","Car driver",1743,1747,37,4
2013,"40-64","Female","Car passenger",645,648,21,3
2013,"40-64","Female","Car unknown position",116,116,6,0
2013,"40-64","Female","Heavy transport driver",7,7,2,0
2013,"40-64","Female","Heavy transport passenger",6,6,2,0
2013,"40-64","Female","Motorcyclist",334,335,17,1
2013,"40-64","Female","Other or unknown",61,61,9,0
2013,"40-64","Female","Pedal cyclist",553,554,13,1
2013,"40-64","Female","Pedestrian",280,286,31,6
2013,"40-64","Female","Pick-up truck or van occupant",14,14,3,0
2013,"40-64","Male","Bus occupant",32,32,5,0
2013,"40-64","Male","Car driver",1691,1698,44,7
2013,"40-64","Male","Car passenger",301,302,14,1
2013,"40-64","Male","Car unknown position",128,128,13,0
2013,"40-64","Male","Heavy transport driver",238,240,14,2
2013,"40-64","Male","Heavy transport passenger",15,15,3,0
2013,"40-64","Male","Heavy transport unknown position",19,20,3,1
2013,"40-64","Male","Motorcyclist",2530,2544,69,14
2013,"40-64","Male","Other or unknown",122,123,18,1
2013,"40-64","Male","Pedal cyclist",1941,1945,39,4
2013,"40-64","Male","Pedestrian",358,362,39,4
2013,"40-64","Male","Pick-up truck or van occupant",58,58,10,0
2013,"40-64","intersex or indeterminate or missing","Car driver",1,1,1,0
2013,"65-74","Female","Bus occupant",21,21,5,0
2013,"65-74","Female","Car driver",427,431,19,4
2013,"65-74","Female","Car passenger",260,260,17,0
2013,"65-74","Female","Car unknown position",32,32,10,0
2013,"65-74","Female","Motorcyclist",12,12,4,0
2013,"65-74","Female","Other or unknown",13,13,4,0
2013,"65-74","Female","Pedal cyclist",69,69,6,0
2013,"65-74","Female","Pedestrian",121,122,36,1
2013,"65-74","Male","Bus occupant",14,14,15,0
2013,"65-74","Male","Car driver",457,461,28,4
2013,"65-74","Male","Car passenger",71,71,7,0
2013,"65-74","Male","Car unknown position",21,21,5,0
2013,"65-74","Male","Heavy transport driver",19,19,4,0
2013,"65-74","Male","Heavy transport unknown position",4,4,5,0
2013,"65-74","Male","Motorcyclist",193,196,16,3
2013,"65-74","Male","Other or unknown",24,24,5,0
2013,"65-74","Male","Pedal cyclist",247,251,14,4
2013,"65-74","Male","Pedestrian",118,125,29,7
2013,"65-74","Male","Pick-up truck or van occupant",11,12,8,1
2013,"75+","Female","Bus occupant",54,54,13,0
2013,"75+","Female","Car driver",423,430,29,7
2013,"75+","Female","Car passenger",299,306,27,7
2013,"75+","Female","Car unknown position",45,45,10,0
2013,"75+","Female","Heavy transport unknown position",1,1,4,0
2013,"75+","Female","Motorcyclist",7,9,21,2
2013,"75+","Female","Other or unknown",26,26,9,0
2013,"75+","Female","Pedal cyclist",12,12,7,0
2013,"75+","Female","Pedestrian",189,197,49,8
2013,"75+","Female","Pick-up truck or van occupant",4,4,7,0
2013,"75+","Male","Bus occupant",15,15,8,0
2013,"75+","Male","Car driver",518,533,33,15
2013,"75+","Male","Car passenger",84,86,12,2
2013,"75+","Male","Car unknown position",23,25,11,2
2013,"75+","Male","Heavy transport driver",1,1,50,0
2013,"75+","Male","Motorcyclist",66,67,12,1
2013,"75+","Male","Other or unknown",26,27,13,1
2013,"75+","Male","Pedal cyclist",91,92,13,1
2013,"75+","Male","Pedestrian",161,181,35,20
2013,"75+","Male","Pick-up truck or van occupant",5,5,5,0
2013,"8-16","Female","Bus occupant",3,3,2,0
2013,"8-16","Female","Car driver",24,24,2,0
2013,"8-16","Female","Car passenger",339,342,9,3
2013,"8-16","Female","Car unknown position",17,17,2,0
2013,"8-16","Female","Motorcyclist",56,56,4,0
2013,"8-16","Female","Other or unknown",7,7,2,0
2013,"8-16","Female","Pedal cyclist",154,154,3,0
2013,"8-16","Female","Pedestrian",103,104,11,1
2013,"8-16","Female","Pick-up truck or van occupant",2,2,10,0
2013,"8-16","Male","Bus occupant",3,3,5,0
2013,"8-16","Male","Car driver",39,39,7,0
2013,"8-16","Male","Car passenger",262,263,11,1
2013,"8-16","Male","Car unknown position",20,20,3,0
2013,"8-16","Male","Heavy transport passenger",4,4,2,0
2013,"8-16","Male","Heavy transport unknown position",0,0,1,0
2013,"8-16","Male","Motorcyclist",413,414,10,1
2013,"8-16","Male","Other or unknown",28,28,3,0
2013,"8-16","Male","Pedal cyclist",714,716,12,2
2013,"8-16","Male","Pedestrian",173,173,22,0
2013,"8-16","Male","Pick-up truck or van occupant",4,4,5,0
2014,"0-7","Female","Bus occupant",1,1,1,0
2014,"0-7","Female","Car driver",2,2,8,0
2014,"0-7","Female","Car passenger",141,142,10,1
2014,"0-7","Female","Car unknown position",8,9,3,1
2014,"0-7","Female","Motorcyclist",12,12,4,0
2014,"0-7","Female","Other or unknown",10,10,1,0
2014,"0-7","Female","Pedal cyclist",63,63,2,0
2014,"0-7","Female","Pedestrian",29,30,9,1
2014,"0-7","Female","Pick-up truck or van occupant",1,1,7,0
2014,"0-7","Male","Bus occupant",2,2,1,0
2014,"0-7","Male","Car driver",3,3,2,0
2014,"0-7","Male","Car passenger",150,151,10,1
2014,"0-7","Male","Car unknown position",7,7,2,0
2014,"0-7","Male","Motorcyclist",24,24,2,0
2014,"0-7","Male","Other or unknown",8,8,2,0
2014,"0-7","Male","Pedal cyclist",160,161,3,1
2014,"0-7","Male","Pedestrian",101,103,8,2
2014,"17-25","Female","Bus occupant",13,13,5,0
2014,"17-25","Female","Car driver",1258,1260,20,2
2014,"17-25","Female","Car passenger",657,658,19,1
2014,"17-25","Female","Car unknown position",78,78,4,0
2014,"17-25","Female","Heavy transport driver",1,1,1,0
2014,"17-25","Female","Heavy transport passenger",3,3,2,0
2014,"17-25","Female","Heavy transport unknown position",1,1,1,0
2014,"17-25","Female","Motorcyclist",166,166,6,0
2014,"17-25","Female","Other or unknown",27,27,2,0
2014,"17-25","Female","Pedal cyclist",142,142,6,0
2014,"17-25","Female","Pedestrian",174,177,21,3
2014,"17-25","Female","Pick-up truck or van occupant",16,16,5,0
2014,"17-25","Male","Bus occupant",10,10,2,0
2014,"17-25","Male","Car driver",1374,1380,31,6
2014,"17-25","Male","Car passenger",571,575,19,4
2014,"17-25","Male","Car unknown position",99,99,8,0
2014,"17-25","Male","Heavy transport driver",27,27,5,0
2014,"17-25","Male","Heavy transport passenger",8,8,3,0
2014,"17-25","Male","Heavy transport unknown position",4,4,2,0
2014,"17-25","Male","Motorcyclist",1898,1903,38,5
2014,"17-25","Male","Other or unknown",60,60,5,0
2014,"17-25","Male","Pedal cyclist",598,599,10,1
2014,"17-25","Male","Pedestrian",234,238,21,4
2014,"17-25","Male","Pick-up truck or van occupant",47,48,4,1
2014,"26-39","Female","Bus occupant",14,14,2,0
2014,"26-39","Female","Car driver",1313,1316,25,3
2014,"26-39","Female","Car passenger",412,414,13,2
2014,"26-39","Female","Car unknown position",85,85,6,0
2014,"26-39","Female","Heavy transport driver",4,4,1,0
2014,"26-39","Female","Heavy transport passenger",4,4,12,0
2014,"26-39","Female","Heavy transport unknown position",1,1,1,0
2014,"26-39","Female","Motorcyclist",225,225,8,0
2014,"26-39","Female","Other or unknown",26,26,3,0
2014,"26-39","Female","Pedal cyclist",360,360,8,0
2014,"26-39","Female","Pedestrian",165,165,13,0
2014,"26-39","Female","Pick-up truck or van occupant",5,5,2,0
2014,"26-39","Male","Bus occupant",14,14,1,0
2014,"26-39","Male","Car driver",1438,1443,35,5
2014,"26-39","Male","Car passenger",355,357,13,2
2014,"26-39","Male","Car unknown position",95,95,6,0
2014,"26-39","Male","Heavy transport driver",82,82,4,0
2014,"26-39","Male","Heavy transport passenger",10,10,6,0
2014,"26-39","Male","Heavy transport unknown position",5,5,2,0
2014,"26-39","Male","Motorcyclist",2145,2148,49,3
2014,"26-39","Male","Other or unknown",75,75,9,0
